X,Y,Z
-1.4033906,4.9951763,5.9226875
1.4251639,-4.908769,-0.16024992
-3.7059321,4.2783875,6.481361
-0.7200016,-3.2101426,8.676662
3.311303,-4.7054963,-0.3543983
-2.748491,-2.0748024,0.6760676
-0.005010575,-2.3485315,1.5661006
-3.0722656,-2.0041635,0.15703253
-1.2447389,3.1722302,3.9764302
0.11414058,-1.7473232,0.12758803
1.5959501,-4.5501766,-0.64451486
4.8983197,5.714732,8.025197
-1.9244354,-3.2917032,6.8077517
-0.4358915,-4.195593,0.475534
-2.9968915,5.2495728,6.910153
1.5291845,-2.5223064,1.2473011
-0.6864578,-2.0727184,7.557951
3.5571907,5.2306404,8.721132
-1.2301567,5.4945207,6.256246
-1.5759647,-4.4757533,0.63392365
-0.900096,-0.9878617,8.184832
-0.6585685,-2.546179,1.2775711
-3.0142338,2.9757686,3.1832902
5.556278,4.341771,5.2697873
-3.3972805,2.784497,8.038769
3.6812072,5.0093174,5.6882353
-1.7717013,-2.4887586,8.72277
1.849881,-3.5314941,-0.8704352
-1.8383304,-0.3379471,7.6679506
-0.72466797,4.4977665,8.479894
-3.4953706,1.9958825,4.1160994
-1.0684351,2.9107268,7.8357587
0.7790803,-2.4738822,-0.5222614
-2.4098663,-2.3362083,7.1319547
-2.0145795,1.0966821,9.268253
-2.0243025,0.946417,8.353739
-1.4212397,-5.0497665,-0.03474036
-2.8428013,4.2628884,6.237845
-0.64879584,4.457248,9.621897
-2.2678347,4.194696,5.748647
4.180035,5.979991,7.164553
-3.3360445,-2.3017497,0.70086783
3.9190433,5.9130764,6.638751
0.42810723,-2.3248503,-0.14961283
-3.2069654,-0.026443217,8.655623
-2.1070607,0.74824446,7.655536
-1.6719295,4.8167152,6.469294
-2.700681,-1.2012341,1.5061723
-1.493183,-4.444011,1.2979645
1.462771,-5.6785307,0.5588631
3.7372704,-5.0090075,-0.24668959
-2.1293218,6.5248733,8.303316
-0.7488526,2.347237,7.615156
2.2365427,-1.9380883,1.9009234
0.71902966,-1.6326301,-0.9120688
3.1736655,-3.577892,-0.19325162
-4.3030796,0.7305821,2.9947789
-4.506998,-0.73437166,1.2761889
1.4653509,-3.5551827,1.1709791
-2.200712,5.5481625,7.6055293
-1.7324871,-3.252796,7.280648
3.5741754,-2.505487,1.8393147
1.2691585,-0.07533904,2.0398219
-1.9487104,-3.1727755,7.85576
4.7884765,3.5383682,5.535902
-2.1304436,2.6033816,9.267823
4.4232144,3.5836473,5.9905114
-2.0129976,-1.7729845,8.690964
1.4315498,-5.82837,-0.751182
1.965525,-5.8616543,-0.3440326
-0.9152564,2.251939,8.792752
-2.8797016,1.8918194,3.252247
-1.9484321,2.3309517,4.1747055
3.9794707,3.1703446,4.1846366
-3.583248,-0.9689427,-0.25027335
-2.633359,5.710736,8.162749
4.2782054,1.9402668,3.890994
0.21985964,0.064597294,1.5362333
-3.4762838,1.9424245,3.2237458
-4.5269685,0.5735165,1.7906735
4.8884463,4.7772627,6.9081135
-1.3645715,-3.4323385,8.520322
-1.3131406,4.89354,7.556743
3.1531699,-3.526833,0.964904
2.9033966,-3.70305,0.34431547
-0.63212615,4.733304,9.101806
0.6952508,-4.164243,1.0643259
5.0283356,-3.9345315,0.29162645
3.9997141,3.9342134,4.915872
1.4594958,-2.8133671,0.22801831
3.4766498,3.2688549,5.727356
3.6107903,-1.5361941,1.0186721
3.4696023,2.623477,5.3018007
3.6732445,5.575748,7.8291326
-1.4612594,-3.956523,0.8249841
-4.0605254,-0.7481062,2.2481651
-2.2460968,-0.48587227,1.0850904
-3.7003906,2.3492324,4.622921
-3.6114545,0.07217783,2.8433273
-2.9716635,0.1415198,1.5181729
-4.5372953,-0.009457118,2.1929584
0.0112666,2.1058342,9.687219
-0.74542946,-0.4091513,7.9200783
-0.6501683,-2.281954,-0.6412092
-3.1999602,5.3868456,8.461777
1.7472928,-3.0278194,-0.33301
-2.9382896,-2.4109828,1.1621084
1.5275569,0.26291332,1.0418341
4.918999,3.796383,6.0322876
0.54440314,-2.5661201,0.4683046
-1.7588729,2.6182659,3.16555
-1.5076551,-5.2981777,-0.49382555
3.9339569,3.73885,4.364565
-4.0413585,-0.6954464,1.6121453
-3.1774316,-1.3320128,1.1715648
0.7709884,-1.4668378,-0.009308204
-2.7630963,2.012209,7.503945
2.752961,-1.6903645,0.089931004
-4.138772,0.2672003,0.77857953
-0.8486543,4.5037436,7.381484
-2.0850596,1.8413414,3.4248824
-0.820593,4.769475,6.834041
4.6438518,5.765874,6.8227134
-2.1940238,-4.2313623,-0.737232
-3.486707,0.9984551,1.5742097
-1.9883429,4.118301,4.6415734
2.7203376,-3.7635207,-0.24672389
0.20384164,1.6267538,8.564036
3.442756,4.544614,6.1267333
-2.88517,2.710342,4.712246
4.6834846,-2.8154044,-0.012215011
0.024855245,0.42853248,8.49623
2.4324145,-1.1323609,3.008974
-1.0035964,-2.1079774,8.953285
-0.6399201,3.3239446,4.1793213
3.0889883,-3.9132378,-0.6634536
3.7330372,-5.509963,0.06358356
4.3247337,5.90779,7.8687143
1.1288593,-2.257082,0.42873365
-2.2847183,1.9028245,7.116795
3.924976,4.7985086,7.2026916
0.20991632,-4.5395746,1.0293068
-1.6782705,3.7516418,3.9199724
-2.7285354,-1.9933143,7.9011292
1.7076873,-5.363955,-0.43822187
-0.18856582,-2.0423248,7.6804614
2.0086915,-4.929348,-0.17372566
4.618686,-3.512614,0.0521072
3.909879,4.960327,8.339032
2.1847246,-3.511639,-0.34032622
1.920404,-0.4191666,1.09365
3.9955053,-4.347249,0.49894643
-4.2208734,-0.39913744,0.38212684
-2.7879882,-1.2874357,7.695473
-0.18895718,1.2025057,9.22019
-1.5280356,-0.8079375,7.967014
-3.0122411,6.247875,7.2308974
0.07080807,-0.7315473,8.18172
-1.7878065,6.330918,7.6614237
-1.1379243,5.380238,7.9025736
-0.33371744,2.2569187,8.135464
-0.17769149,1.0536802,8.155403
-3.4511201,0.11432966,8.107614
2.3165267,-0.8838256,2.408224
-1.4748932,-3.2587798,0.4633474
-0.1484778,-1.4103822,-0.3768071
4.814002,5.1757593,7.4060965
-0.6997713,-0.2824752,7.3688426
-0.8098534,-1.6617495,8.52227
3.8479486,5.521749,7.1224203
-0.91155154,0.40001532,8.931497
3.5315547,-5.0668797,-0.74375415
-2.36664,3.1447315,8.96288
-3.870606,0.64205,1.9080706
4.8117657,3.7730772,6.7772903
-0.16438094,-2.6305778,-0.29258907
-2.924371,3.4953527,7.512066
5.0101824,6.3538938,9.803921
3.7945204,5.709891,10.06653
-2.5647495,-0.9571099,0.36335954
3.836091,-2.202302,0.12814409
1.2659013,-0.23174651,1.3574975
-3.9280112,1.135335,2.6705236
0.8472453,1.1294647,7.787421
-0.9229673,0.9658779,8.773661
0.41954598,-4.8337045,-0.4124924
0.17973697,1.9531972,8.058848
-0.8003569,-3.8531644,-1.062898
-1.9240711,1.3140777,7.3155427
-1.6201482,4.350221,5.964659
-0.6868379,2.7042427,4.1426086
-1.1561147,4.070137,9.896236
-3.299534,4.852195,5.644336
-2.1867576,0.6482227,8.929848
-0.0062191784,-1.6700183,1.5115683
-0.73540103,-5.2127333,0.10780597
-1.7317114,-4.215412,-0.41095287
