X,Y,Z
-1.7758754,4.925829,8.236483
0.9436498,-3.47527,9.339398
-2.5271397,2.9022553,7.4842825
2.3793335,-4.84913,10.720535
2.5643282,-3.9108915,8.458862
-2.6674159,-1.5895901,5.064078
-0.65549767,-2.3541,8.93615
-3.1352155,-1.2751224,4.709394
-1.7724771,2.293569,7.55785
-0.71604264,-0.13165282,8.274238
1.211017,-3.5341866,8.539514
0.6948447,2.2766476,8.180795
-1.0737505,-3.9973664,9.345271
-0.124650136,-3.7483585,9.248638
-3.716842,4.897317,0.35064453
1.1939064,-2.2193425,9.800196
0.23714253,-3.2358027,10.109966
-0.256167,4.393896,8.496871
3.241571,5.8198075,-0.008003747
-1.5186249,-4.333887,7.5666122
-0.88533616,-1.9352679,9.4000225
-1.033131,-1.596914,5.133794
-3.0707269,3.762826,-0.07617433
5.105948,5.0740585,0.61765134
-3.0300252,2.2120857,7.830779
3.7629623,5.61427,0.41903514
-0.904333,-3.2426126,9.609102
1.1532156,-2.7331958,8.443276
-1.5681663,-1.212466,5.38992
2.4017947,4.787249,1.0455242
-2.6856155,1.6716055,8.057387
-0.7595635,2.0404553,7.5115027
-0.70404726,-0.9757253,7.94926
-1.8846326,-4.4162602,9.150122
-1.7365433,0.12446126,7.07214
-2.4046519,-0.4842551,8.457331
-0.94190705,-3.2734993,7.545107
-2.319794,4.7064714,6.5114503
-0.79252005,4.043561,8.404045
-2.9493954,4.30609,1.2541243
3.8529294,5.6249676,0.9641291
-3.0557723,-1.8571982,5.306134
4.0118275,6.036669,-0.038293254
-0.92775536,-0.78645664,8.539869
-2.960415,-0.82965535,9.065497
-2.287924,0.18748844,8.622155
-1.7710068,5.392693,8.275112
-3.3081343,-0.17355955,8.123282
-0.9557332,-4.2640243,9.990139
0.5297588,-4.9819856,9.877422
3.0589135,-3.6171613,8.219686
-1.4883571,6.022468,0.7627451
3.2514634,4.1982903,0.49794966
1.9814475,-1.772548,9.630888
-0.34858495,-0.49125034,8.024101
2.2389379,-2.918247,8.769771
-4.298349,1.0055865,3.1587846
-4.4219775,-0.10369398,3.4350517
1.3557315,-3.3446217,10.3041525
-1.6371717,6.031813,0.10454439
-1.5457084,-3.4457247,9.27237
3.5450063,-2.7257247,9.655746
1.6053474,-0.58338296,7.7986736
-1.6756214,-3.551664,8.653167
4.5506997,3.0203528,1.0617497
-1.8736145,2.019285,8.77279
4.067313,2.9711952,2.1670423
-2.0234802,-2.093978,9.539765
1.4275742,-5.3027844,9.298977
1.2520279,-5.5241075,9.776064
-0.79802275,1.8119133,8.099848
-2.9337597,2.3733025,1.0709398
-1.8366148,2.1624813,8.095922
3.505175,2.1006565,1.9111118
-3.3392713,-0.39794636,3.7590806
-3.03642,5.2343965,1.032598
1.8506509,-0.47729594,9.0231285
-0.88125026,0.3646645,9.071394
-3.0319314,2.7842107,1.6224496
-3.9762578,1.3564013,1.7022102
0.24121223,2.1918836,9.319947
-0.72746974,-4.60776,10.433831
-1.3708534,5.0180435,8.646289
2.6684458,-3.108835,9.052859
2.7088025,-3.0697625,8.46464
-1.2222992,4.4904323,8.446203
0.75531846,-4.383294,9.928965
4.0945005,-3.763427,8.262471
3.5974703,2.418198,2.4207287
0.88379985,-2.5354438,9.139234
0.58605254,1.6271362,9.236011
2.1915905,-1.8861496,8.277983
1.2395695,-0.16392513,8.666042
3.5762422,5.2341394,1.2281227
-0.68145156,-3.870602,9.640912
-4.249763,-0.1281421,4.058462
-2.5463064,1.0096823,2.2426693
-3.7403588,2.930618,1.669559
-3.4284625,0.7404245,4.116995
-3.4185994,1.6672632,1.7027079
-4.303809,0.42581484,3.4007125
-0.19861163,1.7413758,9.350761
-0.435409,-1.6025063,9.672988
-1.621895,-0.48090652,3.214057
-2.7176945,4.9487414,7.593082
1.1286148,-2.1375737,8.636815
-2.861483,-1.4901338,5.7977057
0.35568684,0.24317403,7.8853655
4.814984,3.1962395,1.5612952
0.11694664,-1.4532573,8.525605
-2.2825444,3.2951143,0.3064922
-1.760137,-3.8679602,7.1401134
3.7541568,3.2910395,1.7241404
-3.570853,0.5500545,3.6468024
-2.7231605,-0.262965,3.7421858
-0.38290143,0.14164865,7.907883
-1.9504088,1.0338761,8.450541
4.346253,4.177054,0.9998995
-3.4676065,1.109605,1.5423489
-0.89460456,4.8637037,7.5013537
-1.5686839,1.3864292,8.705404
-1.1166639,5.4225802,7.2217793
4.853609,6.066171,0.61866206
-2.3699126,-2.7422197,5.8741403
-3.857409,1.8071892,1.3298287
-2.2702043,5.65886,-0.29792598
2.13646,-3.327314,8.269951
0.83211863,0.38810265,9.465623
3.19674,4.8105783,0.9506363
-2.527216,2.1831927,8.256467
3.3403156,-2.7174973,9.186777
2.2547872,-1.8470458,5.871824
2.3416595,-1.968406,10.203191
2.337611,-4.2655487,10.81541
-1.1393106,3.2192707,7.2358623
2.6614761,-2.4386792,8.285469
3.3420322,-4.269518,8.835146
5.0868626,4.742773,1.542623
-0.0675575,-0.94527376,9.00326
-2.036692,1.4408841,8.908679
4.2693505,5.8232927,0.51386434
0.24906349,-4.152868,9.989432
-1.6276625,4.133794,7.4114122
-1.9865167,-3.2867544,8.215157
1.1817913,-4.6460915,9.110229
2.214835,-4.213721,10.130745
1.6763698,-4.6801596,9.416999
3.7879567,-3.197581,8.824031
-0.80158174,4.667471,8.742733
1.7420013,-2.1574316,8.689598
1.7666342,-0.25250873,8.299911
3.1115565,-3.9742546,9.412459
-4.003653,-0.18607858,2.981256
-2.197833,-3.8191233,7.9154797
1.284053,-0.057004686,9.871674
-1.4320164,-1.658278,9.328358
-2.641222,6.1342573,-0.19416137
4.7550964,-4.654028,9.453053
3.3647623,7.2204776,0.5246647
-1.0956147,5.6326785,8.466148
-0.13149765,1.8228376,7.734942
0.3689892,0.4892276,9.826923
-3.0292246,-0.60893816,8.44142
2.5386465,-1.922053,9.084419
-1.6062893,-2.3182998,9.215015
-1.8207017,0.7378248,7.5999026
4.494395,4.9103184,1.6905594
-0.22643206,-2.0368068,10.114308
1.675424,-3.7986205,10.746865
3.316523,3.8516588,2.3659506
0.52416295,-0.89462143,10.109618
2.9103441,-4.507814,8.468592
-1.1809205,3.0453258,9.082543
-3.5629637,1.2684714,2.6142561
1.5586369,0.8198291,8.800511
-1.3582395,-1.3403134,8.345041
-2.7126093,2.7529926,8.137342
5.2834897,5.6958656,1.0222113
-0.7590038,4.6064935,8.162693
-2.6494427,0.010344373,7.4344616
5.0076346,3.393932,0.9169467
0.19825396,0.2979843,8.592999
-3.5206146,1.9727885,2.6326292
1.6116567,-0.62602925,9.6091795
-0.51943743,0.14391485,9.63181
-0.023066886,-3.59738,8.070396
0.8183913,0.16019027,8.920824
-1.8152617,-2.5763104,8.654186
-2.077173,0.6658991,8.26149
-1.2711011,5.4123974,0.84178495
-1.145129,2.6514792,7.4597297
-0.23228994,3.2152565,8.548348
-3.3356209,4.672372,0.83121806
-1.9892424,-0.34095547,8.907561
-0.3297415,-1.9289932,9.2739
-1.0383263,-3.725717,7.1168847
-1.9737796,-2.2783122,5.780049
1.3917279,-3.8726175,9.668262
3.0966961,-1.7271992,9.141618
-2.1850154,-2.5586169,5.2298927
-2.403185,-1.828613,4.569131
-2.003818,-2.9518023,6.4289837
-2.5407734,-0.9135381,5.0143647
1.5780982,-4.986772,10.635598
1.1976346,-4.3193836,10.760009
3.3904305,-4.9980454,9.273996
4.078478,4.8534875,1.1721693
-2.6093984,-0.6478809,4.277855
0.91544074,-1.9006279,9.212394
2.1895363,-5.082712,9.674027
2.520526,4.128034,1.3248
0.43852335,-3.5700939,9.724297
0.36162913,-2.6668448,9.161009
-0.7157959,-4.5165234,9.323558
-2.4665723,-1.2425958,4.473346
1.9738544,-0.9797642,8.254229
1.776651,-0.9622034,5.366092
-0.23031746,0.70732504,9.45286
-0.12402912,-3.5153549,8.713813
-1.7876977,1.0661473,8.997241
