X,Y,Z
-4.379355,7.800009,3.8934648
-3.7635033,1.2936099,6.316992
-6.509355,5.2087727,6.059129
-3.1947212,-1.6268965,9.211617
-0.5343693,1.9709381,4.479892
-7.4310803,1.9750313,5.153873
-4.527424,2.179353,5.4716706
-7.3297215,2.373355,5.7077336
-3.9237392,5.963364,1.5694014
-3.3106384,4.5112643,1.8392724
-3.4052498,1.2440695,8.355219
-0.57863194,7.461019,3.4568844
-6.856757,1.5395529,5.436319
-4.263335,1.2238163,5.605984
-6.0803747,6.7675686,0.8014056
-3.174975,1.9697348,8.198364
-3.7685976,0.71092004,8.209291
-1.1608084,7.0560355,3.593798
-2.9932616,6.736959,1.2670735
-7.9824805,0.83296925,6.3845954
-5.3677325,1.730478,5.276443
-5.7143497,2.3636985,4.8993893
-6.5787106,6.9955974,0.8662952
1.8271976,6.076979,0.9562234
-6.5698113,4.0234923,7.2317944
-1.0288696,6.3265996,3.6402438
-3.9250183,0.48275077,6.318803
-3.6189802,4.3621283,2.6062622
-5.858734,2.7005093,7.693829
-2.3737943,6.760813,1.2563797
-6.4024653,4.5213814,7.1263113
-2.7251966,5.6960397,1.4639337
-3.8739169,4.3397093,2.111589
-8.960441,0.17405204,6.3908367
-5.468798,3.8316011,7.5014935
-6.50136,2.7712898,6.726162
-7.6796675,0.78487957,5.7680974
-5.3075438,5.2418365,7.357018
-4.7844615,5.5653896,6.6237226
-6.19428,6.73145,1.9830676
-0.65026844,7.6724615,0.99426764
-8.521473,1.4283901,5.9061832
1.044054,6.9219575,0.775517
-3.8402514,3.8129296,2.327689
-7.7890472,2.097647,6.8823094
-4.972079,4.094696,7.49228
-4.8382015,6.364021,7.449957
-5.7306814,3.2475076,7.591194
-3.9370573,-8.730284,9.083535
-3.3486607,-9.00497,8.956628
0.3296432,2.6504076,4.1435843
-4.490997,7.991338,1.3484546
-2.113383,6.004428,1.391196
-0.69394416,3.1232913,3.9979103
-2.5802317,5.3380256,1.8323972
-0.9319928,3.9161246,3.1814187
-7.7283688,2.8048158,7.572882
-9.116527,0.88254046,5.8305497
-3.493706,0.8394694,7.385749
-4.6122537,7.2154455,0.8941328
-3.8150854,-0.51436734,8.171229
0.113255516,2.1215398,4.4104395
-0.5405113,4.920605,3.710708
-7.2068186,1.1641229,5.9281335
0.90959126,5.8496075,1.3781806
-4.464626,5.709478,5.628744
0.08185112,5.8152256,3.6403944
-8.19971,1.8481878,6.128923
-3.7908366,-9.519624,9.926949
-3.6786535,-1.8508487,9.425047
-2.8991942,4.69393,1.7811022
-6.1820855,6.230793,1.1243593
-5.8545423,6.8875675,2.8360083
-0.40801075,5.576031,3.6822026
-8.294572,0.88212883,5.8474717
-6.4826775,7.8903403,0.74967045
0.12600613,5.170087,3.6829267
-3.765954,4.96801,1.9666415
-6.511924,6.155533,2.7062907
-6.9079432,3.8328292,6.7184134
0.26125252,6.516623,3.6606925
-4.1565294,-9.318858,8.989464
-4.4056587,7.023271,7.260443
-0.32301858,2.5391374,4.324106
0.035757724,4.60668,3.7572513
-4.0203924,7.220344,3.8251102
-3.6016254,0.06350158,8.332288
-0.30535537,1.4387918,5.1928716
-0.37660334,6.1799493,3.6473055
-2.7363038,4.125038,2.4903512
-0.55005515,6.8884435,3.6226363
1.2093865,5.757394,3.6019955
-1.006773,5.856895,3.709697
-1.0532954,8.046917,0.791108
-4.36735,0.060509026,5.4666076
-7.818953,2.1965637,7.7391634
-4.381291,4.6239543,2.1834693
-6.601622,5.88198,0.83598834
-6.885753,3.6516774,7.5498967
-7.0176096,6.045922,1.2820776
-7.258498,3.1377897,7.6060596
-4.706296,5.407792,7.4197645
-4.201092,2.170591,7.1819196
-6.386245,2.4558954,4.7925816
-5.8090725,5.9860344,7.3507266
-2.4987226,4.3060713,1.950538
-7.923721,1.9015585,5.6332393
-1.4334186,6.054984,3.1942735
0.7803677,6.4772506,1.3200022
-3.2652159,4.069096,2.2054563
-4.53402,6.046653,1.5645193
-9.340136,0.6269229,6.394174
0.7014973,5.374179,3.6645148
-6.794572,2.56129,7.6462755
-6.927324,2.9027176,7.164964
-3.0748668,5.746543,1.7258047
-4.7855926,4.8944345,4.714692
1.2292382,6.225637,0.9888443
-6.892924,5.204353,1.0545429
-3.8130882,7.728367,4.161312
-4.4484587,5.4933133,1.8212755
-2.911254,7.3783555,1.1791241
1.6615902,6.6920333,0.82982093
-10.253395,-0.8614508,6.4070096
-6.643739,6.5210805,0.8668122
-4.5189357,6.6383567,1.8521292
-0.11845855,3.1348903,4.155346
-1.6222118,5.5481973,3.67792
-1.2480783,6.574438,2.88863
-5.835738,4.9469113,7.3671875
1.0387363,5.1109643,2.4446657
-0.9521114,2.4221232,4.370578
-0.33407623,3.7010877,4.0122385
-2.8834977,-1.0259426,9.153047
-3.2942235,6.1806574,1.3808799
1.2196968,5.301591,1.6558317
-2.529584,-1.3284336,9.540173
0.50268775,6.611676,2.6226606
-3.143307,5.189748,1.9585979
-5.219579,4.561808,7.427884
-0.8764237,7.407401,1.985149
-3.4917095,-0.9523788,8.3704405
-4.2248573,6.516634,1.3342264
-8.722823,0.8463254,6.2525134
-2.9972475,0.12301666,8.1160345
-3.0702045,-0.47880805,8.427775
-3.307435,0.1407689,7.397336
0.209343,3.6008687,3.4337108
-4.307016,7.63172,7.0127144
-1.0224353,4.5097623,2.7898564
-0.9493317,4.743552,3.3859375
-2.667381,-1.9615781,9.322229
-9.822227,-0.546547,5.9692817
-8.332957,0.2852596,6.2818403
-3.7392921,2.3740387,8.2672825
-5.121128,2.2740717,5.5117016
-5.7135234,7.724138,0.77924246
-2.0132406,-1.8122317,9.526122
-3.9193544,7.5580454,1.2822676
-3.4321327,7.015512,1.1211805
-2.6648066,6.305524,1.533439
-4.7692842,4.696507,7.39616
-8.162626,1.6546105,7.1125216
-0.43319577,4.3005915,3.815102
-6.397743,1.8434739,5.1434875
-3.8267508,5.446372,1.9507203
-0.002783347,7.0969186,3.660535
-3.8521185,1.7916739,8.281182
-2.944814,0.60408306,7.7137504
-0.7813408,7.182969,2.717226
-4.33671,2.6386204,8.042708
-2.909745,-2.0856478,9.881408
-5.203794,5.884123,7.436887
-6.940719,4.791662,1.3835212
