X,Y,Z
-1.5777843,5.057657,7.855069
0.82267326,-3.6253407,9.4502535
-2.358339,3.5793717,7.9023027
1.9802866,-4.823115,10.563597
2.9292266,-3.4861898,8.9386835
-3.0058527,-1.4607557,4.5198345
-0.8087636,-1.4668036,6.9757595
-3.341904,-1.1963286,4.1705756
-1.5360147,2.9391003,7.3624077
-0.7493552,0.5150952,8.034311
1.1520762,-2.8272185,8.973408
-0.47354278,4.7568426,8.117869
-0.8282112,-3.8541222,8.807921
0.2390315,-3.8289454,9.226762
-3.4985123,4.9567437,0.21708538
1.0897835,-1.8007541,9.455803
0.49025607,-3.165515,9.899569
-0.49269754,4.1347632,8.248901
3.3343077,5.712429,0.2396058
-1.1680108,-3.9108253,7.9615245
-0.7937741,-2.0127542,8.815537
-1.44974,-1.9809855,4.820794
-2.8621666,3.8405442,-0.068333216
5.076565,5.6579175,0.48131183
-2.9184053,2.220792,8.080919
3.966995,5.622965,0.082347915
-0.8241068,-3.546431,9.308259
0.6859153,-2.192426,8.427774
-1.6663734,-1.2064266,6.0276203
2.692366,5.213992,0.85229784
-2.4200132,1.8871193,8.084453
-0.74378365,2.2765565,7.8421855
-1.1152321,-0.7814507,8.338533
-1.6697469,-4.2681518,9.098241
-2.2114184,0.30843508,8.983458
-2.4130847,-0.39296415,8.222112
-1.1742058,-3.7428532,7.3208246
-1.9812709,4.667816,8.264376
-0.8089841,3.313859,8.050776
-2.9873435,4.0932336,0.96113616
4.1774254,5.837154,1.1641326
-3.3902888,-1.6990316,4.917499
4.1538534,6.568,0.067582846
-0.6200638,-0.878291,8.631554
-2.789122,-0.94728005,6.849661
-1.5907924,0.28335676,8.799137
-1.7503604,5.123608,8.51691
-2.39146,0.29582834,8.308162
-1.1132423,-4.829401,9.738976
0.6081196,-4.648428,9.668637
3.42756,-3.207975,8.579065
-1.3113176,5.8033524,0.57880956
3.2394233,4.3530855,0.87254316
1.6558557,-1.9632612,9.173585
-0.2576572,-0.025819205,8.054135
2.2835917,-2.704055,9.024814
-3.8944929,0.9005012,3.3448443
-4.2824726,-0.24560094,3.6515155
1.2004691,-3.5834935,9.901949
-1.9455947,6.072174,0.4529312
-1.4248526,-3.4746056,8.935985
3.538907,-2.918631,9.836776
1.516898,-0.5749482,8.376966
-1.4185816,-3.42535,8.247456
4.236169,2.973984,1.3930871
-1.9723619,2.5954022,8.859596
3.842968,2.836997,2.3458505
-2.0061302,-1.9636042,9.023249
1.2858388,-5.3965683,9.788234
1.8975412,-5.4378705,9.640487
-0.7377393,2.1565967,8.448407
-2.3582098,2.3526933,1.1855857
-1.7886386,2.759256,8.330026
3.9118037,2.604039,1.739613
-3.6178827,-0.5949688,4.060209
-2.582593,4.809723,0.733782
1.6794314,0.033089966,8.691807
-0.9161083,0.63105786,8.826893
-2.7810748,2.880264,1.3053806
-3.5679946,1.4458889,2.1001673
0.32923898,2.3632798,8.821005
-0.48635882,-4.766813,10.144367
-1.3051646,5.5620484,8.204695
2.900318,-2.5026877,9.195292
2.8683276,-2.919214,8.75739
-1.126442,4.9423857,8.299155
0.69708693,-3.6564486,10.261713
4.3258696,-3.7967675,7.8369584
3.553903,2.357191,2.142888
0.95596576,-2.0890095,8.88729
0.2960399,1.7920653,9.123453
2.379523,-1.6087921,6.6791015
1.0824469,-0.17819822,8.585487
3.563766,5.9134054,1.2855618
-0.42817807,-4.0000296,9.318882
-3.7775142,-0.011204733,4.1880465
-2.5119257,1.4170227,7.783821
-3.2488503,2.634821,1.5866034
-3.4616425,0.5188028,3.7430623
-3.1850111,1.5407033,1.5350175
-4.042717,0.34375894,3.0711026
-0.22801514,1.5336118,9.310794
-0.14542258,-1.5396156,9.639875
-1.5080146,-0.539122,3.3276217
-2.6524172,4.860357,7.8066497
0.7791565,-1.5669783,8.570268
