X,Y,Z
-1.3568442,4.007917,6.118183
1.3892165,-5.108638,-0.39804077
-3.7784433,4.0107245,5.5922804
-0.55272466,-3.1760263,8.673571
3.3982084,-3.8779192,-0.24698293
-2.5806277,-1.806469,1.3868734
-0.6707407,-2.3340325,1.6027048
-2.9981596,-2.142926,0.08648404
-1.0349274,2.3605785,3.1794217
0.42205647,-1.1010691,-0.23968351
1.8088244,-4.648269,1.3889362
4.2776413,5.126169,7.099389
-1.1364172,-4.802973,1.6098788
-0.07048962,-3.520149,1.1392907
-3.694642,5.4375873,5.8128247
3.1261013,-1.6773622,-0.025097482
-0.52901304,-2.0792797,7.7980514
3.9869008,4.9327173,9.295939
-0.615695,5.5415525,5.8136773
-2.0872598,-4.26557,-0.47211146
-1.223496,-0.6101322,7.128595
-1.9701246,-2.1256382,1.2034346
-3.151818,2.2241328,2.7747498
5.362015,4.236316,4.7621384
-3.4371986,3.494771,8.02902
1.1603444,-1.100829,0.9986013
-1.8011315,-2.391431,8.44174
1.1651677,-3.3567731,-1.4936516
-1.4161038,-0.18466648,6.756035
2.9164405,5.9715247,8.345181
-3.356036,1.9158467,3.590833
-1.1145316,2.0989273,8.688122
0.48157424,-2.577053,0.65544844
-2.6308894,-2.782402,6.8330474
-1.9508729,0.52014256,7.8768034
-2.41125,1.1363976,8.131579
-1.5768853,-4.3663535,0.029655173
-3.18099,3.9810798,5.3656754
-0.6263237,4.547352,9.223604
-2.979079,4.3809295,4.349692
3.5230682,5.4647074,7.7135334
-3.276631,-2.551974,0.4503115
3.7012396,5.6220684,6.038946
0.16078562,-2.2622662,-0.268033
-2.823829,-0.000766173,8.5072775
-2.0671113,1.3308408,7.6211333
-1.316286,4.3787374,6.5743585
-2.6000721,-0.27564234,0.7438802
-1.3898016,-5.04456,0.77830666
0.40118182,-4.8221383,-0.23162052
3.1666057,-3.458926,-0.6555175
-1.4030491,6.3935575,7.3837852
0.9913799,0.7137578,1.8864602
2.1095645,-1.541573,1.9597518
1.0665766,-1.4467642,-0.44437906
2.6889906,-3.1204836,-1.487084
-4.493839,0.5876233,2.878374
-4.692439,-0.2065659,0.70985633
1.4894484,-3.795251,1.1135039
-1.4939704,4.908279,6.110817
-1.5622613,-3.0823882,7.537092
3.8537223,-2.1663172,2.078211
1.5471175,-0.8686173,1.3810501
-1.776919,-3.3499875,6.93784
3.153895,-1.1156911,0.42441112
-1.8441577,2.0705638,8.332214
4.2024007,3.3839664,4.336956
-2.7449646,-1.7041527,8.25356
1.7116416,-5.445022,-1.4742906
1.7500291,-5.2866583,-0.94246167
-1.2226892,1.5909557,6.820162
-2.4639206,1.7665908,2.2108119
-1.4320154,1.9833376,3.7026455
3.5742757,2.944044,3.9622562
-3.521308,-1.1567279,-0.33925122
-2.455762,5.4469786,6.715809
3.649567,1.4355462,3.212981
0.18638682,-0.0548937,1.4032402
-3.5626392,1.6757224,2.3290355
-4.3889422,0.7164145,1.4119225
4.438224,4.898138,7.8639803
-1.3786162,-3.8555171,8.172767
-1.6335114,4.770303,8.896004
3.224728,-2.855967,-1.1998723
0.2627918,-4.4077287,2.2746801
-1.2243036,5.2620745,8.903102
0.6657864,-4.571805,1.3757436
5.219042,-3.79344,0.5826136
3.9990907,2.9297369,5.121975
1.6313843,-2.877184,0.079476975
3.0715854,3.5117142,5.191204
3.3119617,-2.3659594,0.9705834
3.033752,2.5670784,4.3696084
3.0775673,5.1430507,6.687807
-0.9307352,-3.9162326,1.1198546
-4.4089756,-0.30239695,2.0431926
-0.45260358,-1.2415781,0.12852065
-4.112563,2.7798557,3.8734677
-2.7150254,1.5332828,7.859657
-2.4426732,0.27902132,0.80254245
-4.0384545,0.09260372,2.2319632
-0.7069732,2.367645,9.54605
-0.57243985,0.14569764,8.370118
-0.5623826,-1.7487298,-1.0095582
-3.574811,5.0263634,7.714889
1.5977324,-3.6952572,2.0310974
-2.9959705,-2.3282282,1.4742502
1.0451524,-0.6656996,2.1385567
4.390378,4.1865406,5.404326
0.39688075,-1.6619884,-0.56996363
-1.4708571,2.5158508,2.5600846
-1.3956121,-5.57535,-0.1477277
3.8361766,3.7636068,3.7331502
-4.067773,-0.26503056,1.1187031
-3.3853765,-0.9237244,0.07998974
0.53697383,-1.212491,0.10402971
-1.8727115,1.7106595,6.934679
2.0257356,-1.3052423,0.35315102
-4.1659694,0.75845677,0.54610527
-0.69665736,5.1680226,9.032708
-1.3222485,2.2308388,7.0671153
-0.4728097,5.356982,6.4563775
4.929173,6.06753,7.7826147
-1.3653613,-4.6305227,-1.1451439
-3.672436,1.5451264,1.2068634
-2.379386,4.949237,5.2150774
2.4198842,-2.9577806,1.3542401
0.7351982,1.988889,8.85174
3.5707881,4.4466863,5.9181323
-3.5883496,2.0332832,4.356479
4.437657,-2.277945,0.008923295
-0.31622073,0.30468294,9.532122
0.67999977,1.1464943,7.336098
-0.4262865,-1.6226032,8.060659
-0.83514076,2.6464274,4.403549
2.7670953,-3.1397464,-0.85071594
4.439894,-5.3130383,0.3399011
4.1807885,5.7383204,8.263716
0.76330274,-1.9308128,0.7025759
-2.1864471,2.5883062,8.2139635
3.5046208,5.064938,5.0455585
0.5453894,-3.2543924,-0.99847454
-1.3799378,3.5752265,4.172568
-2.8261673,-1.8758876,7.6084886
1.8497664,-3.9055233,-1.8218441
0.081192456,-2.625382,7.1081753
1.360606,-4.4632835,-0.9453434
5.021967,-3.2199125,0.7235538
3.419822,4.8978305,7.920678
1.375803,-2.4557743,0.25644815
1.772087,-0.48631263,0.96314424
4.4096756,-3.9600718,0.035150677
-4.427876,-0.32495078,-0.18798272
-2.6448982,-1.5492549,7.117094
-0.082399674,1.3807425,9.889882
-1.5149059,-0.6253597,8.003915
-2.5297637,6.565412,7.3766246
-0.056891296,-1.9438516,8.700144
-1.509992,6.1255794,7.89548
-0.81573725,4.9898295,7.666531
0.7636772,0.9208277,2.2066257
